match_name,gi_num,present_in_rs_v219
Burkholderia phage phiE12-2 chromosome,NaN,no
Bacillus phage Troll,NaN,no
Morganella phage MmP1,NaN,no
Mycobacterium phage Boomer,NaN,no
Mycobacterium phage Bactobuster,NaN,no
Mycobacterium phage Porky,NaN,no
Staphylococcus phage phiNM1,NaN,no
Mycobacterium phage Dumbo,NaN,no
Cyanophage S-RIM50 isolate RW_29_0704,NaN,no
Mannheimia phage vB_MhS_1152AP2,NaN,no
Mycobacterium phage Makemake,NaN,no
Mycobacterium phage Jasper,NaN,no
Mycobacterium phage Brocalys,NaN,no
Mycobacterium phage Loser,NaN,no
Mycobacterium phage Halo,NaN,no
Acinetobacter phage ZZ1,NaN,no
Salmonella phage SETP7,NaN,no
Pseudomonas phage KPP10,NaN,no
Sulfitobacter phage pCB2047-A,NaN,no
Salmonella phage BPS15Q2,NaN,no
Mycoplasma phage phiMFV1,NaN,no
Staphylococcus phage tp310-2,NaN,no
Methanothermobacter wolfeii prophage psiM100,NaN,no
Gokushovirinae GNX3R,NaN,no
Mycobacterium phage Wildcat,NaN,no
Salmonella phage LSPA1,NaN,no
Vibrio phage nt-1,NaN,no
Mycobacterium phage Astraea,NaN,no
Enterobacteria phage UAB_Phi78,NaN,no
Methanobacterium phage psiM2,NaN,no
Yersinia phage phiR201,NaN,no
Staphylococcus phage tp310-3,NaN,no
Phaeocystis globosa virus virophage,NaN,no
Burkholderia phage Bcep22,NaN,no
Sputnik virophage,NaN,no
Gokushovirinae Fen672_31,NaN,no
Mycobacterium phage Tonenili,NaN,no
Cyanophage P-RSM1,NaN,no
Sulfitobacter phage phiCB2047-B,NaN,no
Vibrio phage eugene 12A10,NaN,no
Burkholderia phage KL3,NaN,no
Stx1 converting phage DNA,NaN,no
Mycobacterium phage KBG,NaN,no
Mycobacterium phage CrimD,NaN,no
Bacteriophage phi-C31,NaN,no
Enterobacteria phage epsilon15,NaN,no
Lactococcus prophage bIL312,NaN,no
Mycobacterium phage Che9d,NaN,no
Name,NaN,no
Corynebacterium phage BFK20,NaN,no
Edwardsiella phage PEi20,NaN,no
