label,attr
Hopland_2021_Santos_V32_VIR_S442_L004_103085,natsoil
almond_CA_BU_D2_MACV_22502,agsoil
almond_CA_BU_D2_MACV_46865,agsoil
almond_CA_BU_H1_MACV_29020,agsoil
almond_CA_BU_H2_ESCV_11169,agsoil
almond_CA_BU_H2_MACV_28291,agsoil
almond_CA_BU_H2_WLV_37606,agsoil
almond_CA_BU_H3_ESCV_4386,agsoil
almond_CA_BU_H3_ESCV_52370,agsoil
almond_CA_BU_H3_MACV_8464,agsoil
almond_CA_BU_H3_WLV_29995,agsoil
almond_CA_RHIZ_D2_MACV_8090,agsoil
almond_CA_RHIZ_D3_MACV_2298,agsoil
almond_CA_RHIZ_H1_MACV_28462,agsoil
almond_CA_RHIZ_H2_ESCV_31372,agsoil
almond_CA_RHIZ_H2_ESCV_63903,agsoil
almond_CA_RHIZ_H2_MAV_10386,agsoil
almond_CA_RHIZ_H2_MAV_6485,agsoil
almond_CA_RHIZ_H3_MACV_13217,agsoil
almond_CA_RHIZ_H3_MAV_43432,agsoil
BB_2021_BMLF1_T1_V_25962,natsoil
BB_2021_BMLS1_T2_B_82694,natsoil
BB_2021_BMLS2_T1_V_31288,natsoil
RR_2018_RR451July_vir_S10_L001_virsorter_1133,agsoil
RR_2018_RR451July_vir_S10_L001_virsorter_189,agsoil
RR_tom_rhizo_2021_14C1BT3_7526,agsoil
RR_tom_rhizo_2021_14C2RT3_91633,agsoil
RR_tom_rhizo_2021_14T1BT3_21596,agsoil
RR_tom_rhizo_2021_14T1RT1_34367,agsoil
RR_tom_rhizo_2021_14T1RT2_61224,agsoil
RR_tom_rhizo_2021_14T1RT3_108063,agsoil
RR_tom_rhizo_2021_14T2BT3_6536,agsoil
RR_tom_rhizo_2021_14T2RT3_33403,agsoil
RR_tom_rhizo_2021_55C2RT1_50593,agsoil
RR_tom_rhizo_2021_55C2RT2_97359,agsoil
RR_tom_rhizo_2021_55T2BT1_71722,agsoil
RR_tom_rhizo_2021_55T2BT1_91453,agsoil
RR_tom_rhizo_2021_55T2RT2_137471,agsoil
RR_tom_rhizo_2021_78C1BT1_77432,agsoil
RR_tom_rhizo_2021_78C1BT1_90147,agsoil
RR_tom_rhizo_2021_78C1RT1_73206,agsoil
RR_tom_rhizo_2021_78C1RT2_25382,agsoil
RR_tom_rhizo_2021_78C1RT3_19652,agsoil
RR_tom_rhizo_2021_78T1BT1_28849,agsoil
RR_tom_rhizo_2021_78T1RT1_99554,agsoil
RR_tom_rhizo_2021_78T2BT1_71895,agsoil
EV_3300002821_Iso3TCLC_10001857,other
EV_3300000148_SI47jul10_100mDRAFT_c1000076,other
roux2015_vdm_Gammaproteobacteria_gi_484116553_Uncultured_Viruses,other
EV_3300001594_Draft_10003762,other
1_RHIZ_ALM_S16_4616,agsoil
GOV_Station23_DCM_ALL_assembly_NODE_1221_length_15943_cov_6.210347,ocean
GOV_Station189_MES_ALL_assembly_NODE_7333_length_13131_cov_9.426736,ocean
GOV_Station205_MES_ALL_assembly_NODE_5165_length_12869_cov_3.744342,ocean
1_BU_ALM_S14_5539,agsoil
biochar_1266,agsoil
EV_3300002835_B570J40625_100004136,other
EV_3300000117_DelMOWin2010_c10000959,other
RR_6_8_frac_9967,agsoil
roux2015_vdm_Gammaproteobacteria_gi_520954033_Uncultured_Siphoviridae,other
GOV_Station34_SUR_ALL_assembly_NODE_2388_length_11519_cov_6.483601,ocean
GOV_Station210_SUR_ALL_assembly_NODE_11606_length_11234_cov_6.555416,ocean
roux2019_Palsa_VIRSorter_contig_125331_gene_6_gene_19_2418_13530_cat_4,peat
GOV_Station78_SUR_ALL_assembly_NODE_2012_length_10018_cov_4.486500,ocean
