Sample_10_comp.tsv	## Virus	Name	Coverage
Sample_10_comp.tsv	22855216	Pseudomonas phage phi-12 segment S	0.0585440865994922
Sample_10_comp.tsv	134288688	Burkholderia phage phiE12-2 chromosome	0.054693395108115
Sample_10_comp.tsv	530787156	Bacillus phage Troll	0.051090201648236
Sample_10_comp.tsv	269838908	Morganella phage MmP1	0.0477189712030543
Sample_10_comp.tsv	557307743	Mycobacterium phage Fredward	0.0445651203990328
Sample_10_comp.tsv	389059862	Cronobacter phage CR3	0.0388556446241074
Sample_10_comp.tsv	418489303	Enterobacter phage EcP1	0.0362751158015844
Sample_10_comp.tsv	543170916	Mycobacterium phage PhrostyMug	0.0338620610199335
Sample_10_comp.tsv	294661423	Klebsiella phage KP15	0.0316058657650702
Sample_10_comp.tsv	148747798	Burkholderia phage phi644-2 chromosome	0.0294965720945354
Sample_10_comp.tsv	730984715	Shigella phage pSs-1	0.0256819052695189
Sample_10_comp.tsv	82700933	Pseudomonas phage EL	0.0239595541176371
Sample_10_comp.tsv	526177484	Cellulophaga phage phi17:1	0.0223500804550588
Sample_10_comp.tsv	712913311	Mycobacteriophage Taj	0.0208462596813925
Sample_10_comp.tsv	31415740	Bacillus prophage phBC6A51	0.0194413184873085
Sample_10_comp.tsv	428782254	Enterobacterial phage mEp234	0.0181289073606365
Sample_10_comp.tsv	159192286	Enterobacteria phage PRD1	0.0169030747249018
Sample_10_comp.tsv	194302947	Mycobacterium phage Boomer	0.0146891838072976
Sample_10_comp.tsv	568191126	Bacillus phage Staley	0.013691000301002
Sample_10_comp.tsv	9628600	Haemophilus phage HP1	0.0127591031033173
Sample_10_comp.tsv	30039743	Vibrio phage VGJphi	0.0118891932117258
Sample_10_comp.tsv	77999988	Lactobacillus phage Lc-Nu	0.00961237933562244
Sample_10_comp.tsv	326781756	Synechococcus phage S-SM2	0.00895262502157816
Sample_10_comp.tsv	712914056	Mycobacteriophage RedRock	0.00722746900946368
Sample_10_comp.tsv	371671319	Staphylococcus phage S24-1	0.00626237961707331
Sample_10_comp.tsv	23455771	Lactobacillus phage phig1e	0.00542343170048358
Sample_10_comp.tsv	414088861	Caulobacter phage CcrRogue	0.00504613889236644
Sample_10_comp.tsv	712913690	Mycobacterium phage Soto	0.00469449688462106
Sample_10_comp.tsv	508177859	Mycobacterium phage PegLeg	0.00436680245580726
Sample_10_comp.tsv	219681191	Salmonella enterica bacteriophage SE1	0.00406146276813881
Sample_10_comp.tsv	47842848	Burkholderia phage Bcep43	0.00377698838994403
Sample_10_comp.tsv	388570630	Clostridium phage PhiS63	0.00351198674800685
Sample_10_comp.tsv	327197643	Brochothrix phage A9	0.00326515598399487
Sample_10_comp.tsv	408905841	Escherichia phage P13374	0.00303527919068733
Sample_10_comp.tsv	23455713	Enterobacteria phage FI	0.00262191253723236
Sample_10_comp.tsv	725950304	Escherichia phage ECML-4	0.00210290580335004
Sample_10_comp.tsv	206599795	Mycobacterium phage Troll4	0.00195331438445288
Sample_10_comp.tsv	422935955	Bacillus phage BCD7	0.00181412284795123
Sample_10_comp.tsv	237651460	Roseophage EE36P1	0.00168462501471809
Sample_10_comp.tsv	66396113	Staphylococcus phage 55	0.00156416150949399
Sample_10_comp.tsv	162290107	Staphylococcus phage phiMR11	0.00145211673516165
Sample_10_comp.tsv	282598772	Clavibacter phage CMP1	0.00134791603767296
Sample_10_comp.tsv	460042674	Synechococcus phage S-RIM8 A.HR1	0.00125102304992832
Sample_10_comp.tsv	28876437	Streptococcus prophage 315.6	0.00116093720360705
Sample_10_comp.tsv	110804020	Clostridium phage phiSM101	0.00107719139860577
Sample_10_comp.tsv	89152533	Pseudomonas phage PA11	0.000999349820361505
Sample_10_comp.tsv	9635467	Vibrio phage VfO3K6	0.000927005895919974
Sample_10_comp.tsv	9630464	Bacteriophage N15	0.00085978038015929
Sample_10_comp.tsv	448260543	Klebsiella phage KP27	0.000797319564096734
Sample_10_comp.tsv	422937778	Salmonella phage PhiSH19	0.000739293597693543
Sample_10_comp.tsv	312281391	Prochlorococcus phage P-SSM4	0.000685394920031232
Sample_10_comp.tsv	514361045	Serratia phage Eta	0.00063533679016465
Sample_10_comp.tsv	431810244	Staphylococcus phage phi5967PVL DNA	0.0005888519123632
Sample_10_comp.tsv	281415946	Mycobacterium phage ET08	0.000545691149833903
Sample_10_comp.tsv	712913869	Salmonella phage Chi	0.00050562232137969
Sample_10_comp.tsv	20065797	Mycobacterium phage Bactobuster	0.000468429075784654
Sample_10_comp.tsv	508180091	Mycobacterium phage Phrux	0.000433909839036304
Sample_10_comp.tsv	408905842	Propionibacterium phage ATCC29399B_T	0.000401876829794272
Sample_10_comp.tsv	282598938	Deftia phage phiW-14	0.000372155138796448
